	File.Name	Valence	Arousal	Dominance	StdDev.Valenence	StdDev.Arousal	StdDev.Dominance	Tokens	Alphabetic.Token	Non.Stopword.Tokens	Recognized.Tokens	NumberCount	DTAClass	DTASubClass	year	pubPlaces	publisher	scaled.valence	scaled.arousal	scaled.dominance
27	august_zigeuner_1698	0.2141	0.07862	0.21538	0.77473	0.76049	0.68888	655	583	583	381	1	Gebrauchsliteratur	Verordnung	1698	Wolfenbüttel	Kirchner	-1.88444722335206	1.96749040692491	0.00588808010284789
28	avelallemant_gaunerthum01_1858	0.34344	-0.17706	0.11539	0.85504	0.67757	0.76121	102490	85532	85532	50247	1859	Fachtext	Recht	1858	Leipzig	Duncker und Humblot	-0.633267324477069	0.0687107277503067	-1.12570164245222
29	avelallemant_gaunerthum02_1858	0.25025	-0.14159	0.07869	0.86013	0.67251	0.75718	139524	115405	115405	72419	1971	Fachtext	Recht	1858	Leipzig	Hartknoch	-1.53474756861006	0.332124820445563	-1.54103660412609
30	avelallemant_gaunerthum03_1862	0.31938	-0.16353	0.11303	0.82242	0.64883	0.74325	163527	132606	132606	79416	2601	Fachtext	Recht	1862	Leipzig	Schmid	-0.866013484728595	0.169189799477592	-1.15240983072334
31	avelallemant_gaunerthum04_1862	0.25256	-0.12527	0.01528	0.84691	0.68216	0.77291	248611	165333	165333	75937	3128	Fachtext	Recht	1862	Leipzig	Orell, Gessner, Füssli	-1.51240161556845	0.453323523371601	-2.25864940847869
32	bach_versuch01_1759	0.28665	-0.16505	0.19762	0.80738	0.60456	0.62587	37765	31928	31928	24265	373	Fachtext	Musik	1759	Berlin	Steiner;Weidmann und Reich	-1.18262952068173	0.157901684989383	-0.195102353666308
33	bach_versuch02_1762	0.34932	-0.20444	0.17557	0.82272	0.5799	0.60586	61020	49879	49879	37409	793	Fachtext	Musik	1762	Berlin	Andreä	-0.576386716734801	-0.134623860859677	-0.444642841538487
34	bachstrom_schwimmen_1742	0.26695	-0.04534	0.18412	0.75816	0.63609	0.67412	15051	12721	12721	9804	10	Gebrauchsliteratur	Technik	1742	Berlin	Junius	-1.37319890376382	1.04691496484698	-0.347882244200295
35	baer_thiere_1828	0.46328	-0.49077	0.21974	0.74244	0.64317	0.66604	126735	110435	110435	78149	263	Fachtext	Zoologie	1828	Königsberg	Fritsch	0.526013633317728	-2.26102242757613	0.0552303262308615
36	baer_thiere_1837	0.45523	-0.46955	0.24173	0.74402	0.64756	0.6668	149257	130810	130810	92118	324	Fachtext	Zoologie	1837	Königsberg	Braumüller	0.448141372718195	-2.10343440820784	0.304091792367334
37	basedow_philanthropinum_1774	0.40318	-0.0913	0.19509	0.82446	0.60954	0.62504	28132	23535	23535	16650	146	Fachtext	Pädagogik	1774	Leipzig	Spurny	-0.0553680886738219	0.70559802940086	-0.22373443685527
38	basedow_weisheit_1768	0.33947	-0.01489	0.13332	0.88557	0.66193	0.66039	39196	33031	33031	24010	183	Gebrauchsliteratur	Anstandsliteratur	1768	Altona;Halle (Saale)	Voß	-0.671671408275846	1.2730485741667	-0.922787313765224
39	bastian_voelkergedanke_1881	0.4352	-0.27685	0.21249	0.7341	0.54916	0.69568	81778	67411	67411	38989	146	Fachtext	Gesellschaftswissenschaften	1881	Berlin	Richter	0.254379710630162	-0.672368841182864	-0.0268181335003535
40	bauer_buehnenleben_1871	0.47765	-0.13369	0.32108	0.78727	0.68044	0.79094	118296	98313	98313	66411	223	Belletristik	(Auto)biographie	1871	Berlin	Dümmler	0.665022873667455	0.390793310219809	1.20209803783932
41	baumstark_encyclopaedie_1835	0.4923	-0.48155	0.27895	0.81454	0.69133	0.70407	405838	319446	319446	187436	9099	Fachtext	Ökonomie	1835	Heidelberg;Leipzig	Duncker und Humblot	0.806740714385861	-2.19255110153581	0.725311609084
42	beck_eisen01_1884	0.42067	-0.31863	0.24393	0.71404	0.54431	0.69539	417744	338221	338221	207852	14584	Fachtext	Technik	1884	Braunschweig	Waisenhaus	0.11382269864119	-0.982643461786411	0.32898925600991
43	beck_eisen02_1895	0.41164	-0.31962	0.26736	0.72205	0.55863	0.71306	532559	423026	423026	261939	22443	Fachtext	Technik	1895	Braunschweig	Göschen	0.0264703367512783	-0.989995588985969	0.59414724380334
