Sekretär	1.16	-0.53	0.4
partum	-0.14	0.66	0.31
ca.	0.0	-0.53	0.29
Eulerkapper	-0.99	0.78	-0.03
Kanton	0.81	-0.73	0.06
A.G.	-0.08	0.56	0.07
weiter	1.24	-1.02	0.41
90	0.22	-0.74	0.37
stabil	0.36	-0.32	0.41
Tragstempel	0.48	-0.67	0.41
Frieslander	0.09	-0.05	0.38
Briefstil	0.94	0.1	0.7
Semgallien	0.27	0.13	0.37
Silber	0.33	-0.63	0.62
Branicki	0.9	-0.03	0.24
deutschrabbinisch	-0.06	-0.29	0.58
Alpenkalk	0.38	-0.25	-0.27
Teichgrund	0.13	-0.75	0.14
durchblicken	-0.28	0.01	0.3
tabulas	-0.45	0.55	0.03
caus.	-0.05	0.03	0.35
Bouguer	0.55	-0.34	0.39
Leberwurst	1.29	-1.31	0.95
zänkisch	-1.32	1.01	-0.14
Pferdegeschirr	0.08	-0.12	0.68
gesellschaftsweise	0.58	-0.22	0.16
Quaderrelativ	0.6	-0.38	0.62
Heiligenleben	0.48	-0.01	-0.03
Kalliope	0.23	0.32	0.25
Syntax	-0.04	0.16	0.06
Zollvereins-Vertrag	0.23	-0.11	0.3
Verkündigen	-0.11	0.94	-0.19
zusehend	0.1	0.12	-0.01
archiv.	-0.62	0.16	-0.03
Brunnengast	1.64	-0.52	0.33
niedergebeugt	0.05	0.07	0.2
427.	-0.1	-0.01	0.28
temporis	0.1	0.55	0.34
Mg	0.53	-0.62	0.47
Ungeschmack	-1.09	0.71	0.12
Mobilität	-0.48	0.63	0.04
Operierte	-1.93	1.13	-0.96
Scarus	-0.67	0.28	0.07
Empörer	-1.69	1.58	-0.33
Marasmus	-2.13	1.07	-0.89
Straßenbaum	0.43	-1.11	0.66
potuerunt	0.1	0.17	0.4
feront	0.18	0.36	0.42
Geneigtheit	0.1	0.57	0.55
tiefgelegen	0.92	-0.75	-0.23
1,25	0.29	-0.92	0.38
pflanzen	1.17	-1.22	0.62
eigenthums-	-0.07	0.23	0.18
Oberin	0.91	-0.11	0.42
Sara	1.35	-0.01	0.32
Wetensk	-0.26	0.16	0.22
Schreibbuch	0.81	-1.06	0.6
Murren	-1.06	1.34	0.07
lakedämonisch	-0.43	0.8	0.09
Weida	0.39	-0.46	0.28
Hamann	1.14	-0.03	0.51
misso	-0.42	0.88	-0.07
Morgenglocke	1.26	-0.84	-0.41
faciat	-0.28	0.57	0.35
Bedeutende	0.56	0.11	0.47
Novogrod	1.55	-0.56	0.4
wildwachsend	0.46	-0.74	0.32
unverjährt	-0.02	0.16	0.16
Futterstoff	-0.12	-0.49	0.36
Kunstakademie	1.18	-0.45	0.29
Meridiankreis	0.5	-0.71	0.53
Flüssigwerden	-0.19	-0.3	-0.08
beigemischt	-0.33	-0.03	0.09
Euklid	-0.21	-0.03	0.25
Verständiger	0.24	0.38	0.37
inferioris	-0.39	0.33	0.28
Lenischen	-0.38	0.36	0.22
würgen	-1.1	1.16	-0.59
dignum	0.18	0.21	0.6
Atemwerkzeug	-0.39	0.49	0.15
geotropisch	-0.42	0.01	0.01
zweifach	-0.32	0.4	0.14
La	1.33	-0.71	0.3
Lore	1.16	-0.03	0.34
Sundewall	0.67	-0.3	0.31
civitatum	-0.97	0.89	0.29
Prophezeiung	0.37	0.77	-0.15
Kaptaube	-0.09	-0.06	0.08
